标的证券代码	标的证券简称	本日融资余额(元)	本日融资买入额(元)	本日融资偿还额(元)	本日融券余量	本日融券卖出量	本日融券偿还量
600739	辽宁成大	2746066635	70900051	74036331	580080	47100	47100
600740	山西焦化	455509597	28672402	30117428	1919300	180000	185200
600741	华域汽车	336086045	26373935	30568259	512096	87400	27972
600742	一汽富维	513189473	9982362	8701626	2400	0	0
600743	华远地产	203743726	3922495	10929759	0	0	0
600744	华银电力	186889798	13984703	9843856	0	0	0
600745	闻泰科技	4178466729	253530734	408159046	1845743	77300	43000
600748	上实发展	469468580	3116751	7143352	414197	500	17600
600750	江中药业	369398182	9285843	8651512	1600	0	100
600751	海航科技	467880126	28727425	37760217	235800	0	35200
600754	锦江酒店	40152646	1900671	1585276	88740	3000	2600
600755	厦门国贸	842826211	13627776	20437737	1759458	11200	26500
600756	浪潮软件	670130345	28119326	24459318	116064	12900	53100
600757	长江传媒	293743778	19290073	6456908	183500	3100	14000
600759	洲际油气	259903742	8374703	8842845	232400	0	0
600760	中航沈飞	1115648423	82866024	95145807	561225	33800	85997
600761	安徽合力	221438104	16129051	20370852	100	100	3900
600763	通策医疗	1270179666	51431500	103931805	120773	1000	400
600764	中国海防	554078773	22365755	47285436	42300	10600	0
600765	中航重机	671780376	145226929	124753644	201044	9678	14500
600766	园城黄金	62321132	2068030	3161910	0	0	0
600770	综艺股份	436888899	8336639	11050186	159350	7000	26400
600771	广誉远	484695872	37564942	36703915	196670	1000	72700
600773	西藏城投	318890302	4117226	6820321	2100	2100	0
600775	南京熊猫	271453479	2259469	4137207	117700	0	0
600776	东方通信	342162428	3613585	5590491	334074	6400	30500
600777	新潮能源	480505428	11018782	9425754	738400	0	20300
600779	水井坊	549851059	44488964	49226063	100999	18900	221244
600782	新钢股份	393998378	33305051	31876189	964882	68100	36200
600783	鲁信创投	610500171	8147344	17316257	67100	0	0
600787	中储股份	309935575	6880018	2033054	547700	6100	17600
600789	鲁抗医药	453798052	8159602	11256101	183000	13000	0
600790	轻纺城	299851559	3191719	2535246	0	0	0
600795	国电电力	514145725	33193326	15441407	20434079	1383000	1285700
600797	浙大网新	873584610	8397247	23229639	19200	0	0
600798	宁波海运	138146117	7532637	9193989	0	0	0
600800	天津磁卡	215305375	9724405	13729076	10400	0	10200
600801	华新水泥	897763990	30182852	43171208	300301	12500	37900
600802	福建水泥	296709424	3467551	4732652	33400	0	0
600803	新奥股份	227978958	6885446	11662560	56575	10100	0
600804	鹏博士	1083936871	9536340	23913860	878963	40300	85800
600805	悦达投资	248577134	30390115	40098504	3000	0	2000
600808	马钢股份	439790045	8571915	13239521	964800	2200	62500
600809	山西汾酒	873521722	109006892	131487587	2688188	67900	48800
600810	神马股份	281704520	7858432	13548952	0	0	0
600811	东方集团	1441731970	8717819	8186202	1036087	1400	0
600812	华北制药	574871507	8402903	8933805	125000	0	0
600820	隧道股份	574283826	1660359	5427132	716896	900	55200
600822	上海物贸	114145766	1716234	3382512	100	0	0
600823	世茂股份	173650771	2087415	3805910	375580	9900	23500
600825	新华传媒	355178631	1251093	1430077	15700	10900	0
600826	兰生股份	219052516	720277	1874858	0	0	0
600827	百联股份	964619879	49365897	37936165	264464	32800	42800
600830	香溢融通	291525225	1062270	2055120	0	0	0
600831	广电网络	314300591	3598470	7459757	96425	0	3400
600835	上海机电	256081897	10258601	9715670	133500	11000	800
600837	海通证券	6149614706	323067748	165157267	224184959	511000	659430
600838	上海九百	260068815	7569706	11396623	4218	1200	2600
